,total_h2_sold_per_station,prioritize,profitability threshold,longitude,latitude,station_location,size_station,cumulative_demand,construction_year,propriety
46,4484.051583448048,1,1.1210128958620118,3.969042511437332,46.46181151755479,road,large,0.5414921590703802,2033,0
47,4484.051583448048,1,1.1210128958620118,4.681115468844718,46.36665939129923,road,large,0.5485016904497862,2033,0
48,4444.16,1,1.111,1.3070367333333337,43.9278982,hub,large,0.5554488627548708,2033,0
49,4399.192311511611,1,1.0997980778779026,0.3051646485282707,49.3133337654017,road,large,0.562325740948112,2033,0
50,4399.192311511611,1,1.0997980778779026,0.1419237512513107,49.26256555057668,road,large,0.5692026191413532,2033,1
51,4391.903454072882,1,1.0979758635182204,6.153166770390324,47.33582344280961,road,large,0.5760681032919556,2033,0
52,4391.903454072882,1,1.0979758635182204,5.319601368458224,47.07060581767057,road,large,0.5829335874425579,2034,0
53,4391.903454072882,1,1.0979758635182204,5.170233439193096,47.0324649998648,road,large,0.5897990715931601,2034,0
54,4390.4,1,1.0976,4.8147808,45.29202,hub,large,0.5966622055235865,2034,0
55,4206.690796980039,1,1.0516726992450096,6.153323467009044,43.41051955099898,road,large,0.6032381626900328,2034,1
56,4206.690796980039,1,1.0516726992450096,7.366670364166511,43.74520979912986,road,large,0.6098141198564793,2034,1
57,4206.690796980039,1,1.0516726992450096,7.483722004254011,43.79715090031751,road,large,0.6163900770229256,2034,0
58,4085.76,1,1.0214,1.6118771,50.7259985,hub,large,0.622776993496955,2034,0
59,4067.84,1,1.017,2.4821778666666665,48.597845033333336,hub,large,0.6291358971794317,2034,1
60,4014.08,1,1.0034999999999998,3.9070658,47.4885365,hub,large,0.6354107624872501,2034,1
61,3965.025621727088,1,0.991256405431772,2.240432847246608,46.19907440426714,road,large,0.641608945313299,2034,0
62,3965.025621727088,1,0.991256405431772,2.418072921182057,46.29172062060176,road,large,0.6478071281393479,2034,1
63,3924.48,1,0.9811,5.40338,47.0371,hub,large,0.6539419294894026,2034,0
64,3870.72,1,0.9677,-0.87698975,47.0523826,hub,large,0.6599926924647987,2034,1
65,3816.96,1,0.9542,3.0978047,45.83526155,hub,large,0.6659594170655369,2035,1
66,3808.6480336637255,1,0.9521620084159312,-1.3371337656867957,48.62398785047724,road,large,0.6719131482856738,2035,0
67,3808.6480336637255,1,0.9521620084159312,-0.4672361667078279,49.158923933145935,road,large,0.6778668795058107,2035,1
68,3727.36,1,0.9318,-117.8704931,33.7500378,hub,large,0.6836935401487849,2035,1
69,3677.1716167551176,1,0.9192929041887794,-3.352024767070826,47.77856753379444,road,large,0.689441745617752,2035,0
70,3677.1716167551176,1,0.9192929041887794,-4.408383228036626,48.39650374219637,road,large,0.695189951086719,2035,0
71,3601.92,1,0.9005,-1.4611915,43.5405622,hub,large,0.7008205221888238,2035,0
72,3440.64,1,0.8602,-1.078488233333333,46.0787621,hub,large,0.706198978166954,2035,0
73,3297.28,1,0.8243,2.6073963,46.3400296,hub,large,0.7113533318126619,2035,1
74,3261.44,1,0.8154,2.9557006,48.3849647,hub,large,0.7164516598752644,2035,1
75,3261.44,1,0.8154,2.8385118,49.67595563333333,hub,large,0.7215499879378668,2035,1
76,3207.68,1,0.8019,-0.3466615,46.2595794,hub,large,0.726564277625811,2035,1
77,3189.76,1,0.7974,7.6165987,48.5214122,hub,large,0.7315505545222024,2035,1
78,3118.08,1,0.7795000000000001,0.3250000000000002,49.0211111,hub,large,0.7364247802523828,2036,1
79,3028.48,1,0.7570999999999999,1.3667588,48.7262676,hub,large,0.7411589420247993,2036,1
80,2992.64,1,0.7482,3.6011231,50.3870769,hub,large,0.7458370782141103,2036,0
81,2938.88,1,0.7347,1.94731682,47.90594698,hub,large,0.7504311760287631,2036,0
82,2920.96,1,0.7302,3.83236095,43.52913485,hub,large,0.754997261051863,2036,0
83,2849.28,1,0.7123,2.8323842333333333,50.28981016666667,hub,large,0.7594512949087521,2036,1
84,2827.084852465551,1,0.7067712131163878,5.164026036686764,47.344957414347725,road,large,0.763870633004404,2036,1
85,2827.084852465551,1,0.7067712131163878,5.287071457819081,47.93015943864478,road,large,0.7682899711000561,2036,1
86,2827.084852465551,1,0.7067712131163878,5.899673413273241,48.48507948650719,road,large,0.7727093091957081,2036,0
