,Identifiant aire logistique dense (e1),Région d'implantation,Numéro aires dans région,Communes concernées par l'aire logistique,Nombre d'EPL de plus de  5 000 m2,Surface totale,P_Transport_et_entreposage,P_commerce,P_industrie,P_autres,Eff_com_entreposage,EFF_EPL_5000,Poids de l'entreposage,Chargement,Déchargement,commune_clean,location,latitude,longitude
73,446,11,33,Tournan-en-Brie,3 - 9,76000,0,0.6666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Tournan-en-Brie,"(48.7403305, 2.7645642)",48.7403305,2.7645642
74,453,32,49,"Épaux-Bézu, Château-Thierry",3 - 9,162000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Épaux-Bézu,"(49.1091667, 3.3483333)",49.1091667,3.3483333
75,459,27,10,"Avallon, Étaule",3 - 9,69000,0,0.6666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Avallon,"(47.4885365, 3.9070658)",47.4885365,3.9070658
76,470,11,12,"Brétigny-sur-Orge, Saint-Germain-lès-Arpajon, Marolles-en-Hurepoix",10 - 19,292000,0.5454545454545454,0.2727272727272727,0,0.18181818181818182,1200,700,0.10696629213483146,10,10,Brétigny-sur-Orge,"(48.6099887, 2.3075288)",48.6099887,2.3075288
77,476,44,16,Gondreville,3 - 9,66000,0.2,0.6,0,0.2,NC,NC,NC,NC,NC,Gondreville,"(49.2162403, 2.9549603)",49.2162403,2.9549603
78,479,53,14,Liffré,3 - 9,43000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Liffré,"(48.2145992, -1.5059748)",48.2145992,-1.5059748
79,492,93,4,Saint-Martin-de-Crau,10 - 19,287000,0.45454545454545453,0.36363636363636365,0.09090909090909091,0.09090909090909091,1000,500,0.22675631810804545,10,10,Saint-Martin-de-Crau,"(43.6384838, 4.8111564)",43.6384838,4.8111564
80,493,44,19,"Éloyes, Saint-Nabord",3 - 9,58000,0,0,0.75,0.25,NC,NC,NC,NC,NC,Éloyes,"(48.0926885, 6.6112215)",48.0926885,6.6112215
81,495,32,14,Loon-Plage,3 - 9,389000,0.875,0.125,0,0,NC,NC,NC,NC,NC,Loon-Plage,"(50.9946103, 2.2192457)",50.9946103,2.2192457
82,496,84,37,"Genay, Neuville-sur-Saône",3 - 9,51000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Genay,"(47.52545, 4.29711)",47.52545,4.29711
83,499,53,15,Lanester,3 - 9,20000,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,NC,NC,NC,NC,NC,Lanester,"(47.7639726, -3.3444489)",47.7639726,-3.3444489
84,502,32,21,Lille,3 - 9,96000,0.3333333333333333,0.5,0.16666666666666666,0,NC,NC,NC,NC,NC,Lille,"(50.6365654, 3.0635282)",50.6365654,3.0635282
85,519,32,6,"Lauwin-Planque, Flers-en-Escrebieux, Cuincy, Auby",10 - 19,366000,0.4,0.3,0.2,0.1,1000,600,0.08531229668184775,10,10,Lauwin-Planque,"(50.3906656, 3.0462262)",50.3906656,3.0462262
86,520,32,50,"Valenciennes, Trith-Saint-Léger",3 - 9,75000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Valenciennes,"(50.3579317, 3.5234846)",50.3579317,3.5234846
87,523,75,21,"Thouars, Louzy",3 - 9,55000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Thouars,"(46.983202750000004, -0.2057893552874009)",46.983202750000004,-0.2057893552874009
88,524,11,2,"Vitry-sur-Seine, Bonneuil-sur-Marne, Alfortville, Créteil, Paris, Ivry-sur-Seine, Limeil-Brévannes, Sucy-en-Brie, Villeneuve-Saint-Georges, Rosny-sous-Bois, Boissy-Saint-Léger, Valenton, Villejuif",30 - 39,677000,0.3333333333333333,0.5,0.1111111111111111,0.05555555555555555,5100,1100,0.02457168511554485,50,50,Vitry-sur-Seine,"(48.7876, 2.39164)",48.7876,2.39164
89,536,28,2,"Val-de-Reuil, Louviers, Le Vaudreuil, Heudebouville, Incarville, Vironvay",10 - 19,241000,0.38461538461538464,0.15384615384615385,0.38461538461538464,0.07692307692307693,1200,600,0.06413350449293967,10,10,Val-de-Reuil,"(49.2716839, 1.2128992)",49.2716839,1.2128992
90,537,44,20,"Golbey, Chavelot",3 - 9,66000,0.5,0,0.5,0,NC,NC,NC,NC,NC,Golbey,"(48.1955731, 6.4364631)",48.1955731,6.4364631
91,541,76,14,Aimargues,3 - 9,27000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Aimargues,"(43.683958, 4.2095204)",43.683958,4.2095204
92,543,24,3,"Chartres, Gellainville",10 - 19,241000,0.6,0.1,0.2,0.1,800,200,0.027733503347146957,20,20,Chartres,"(48.4438601, 1.4881434)",48.4438601,1.4881434
93,554,44,11,"Woippy, Metz, La Maxe",3 - 9,252000,0.7142857142857143,0.14285714285714285,0.14285714285714285,0,NC,NC,NC,NC,NC,Woippy,"(49.1515848, 6.1519224)",49.1515848,6.1519224
94,555,11,34,Châtres Île de France,3 - 9,113000,0.6666666666666666,0.3333333333333333,0,0,NC,NC,NC,NC,NC,Châtres Île de France,"(48.7089097, 2.8095273)",48.7089097,2.8095273
95,558,32,29,Hénin-Beaumont,3 - 9,172000,0.4,0.2,0.2,0.2,NC,NC,NC,NC,NC,Hénin-Beaumont,"(50.4191721, 2.9469339)",50.4191721,2.9469339
96,563,32,30,"Brebières, Courchelettes, Corbehem",3 - 9,110000,0.4,0,0.4,0.2,NC,NC,NC,NC,NC,Brebières,"(50.3372093, 3.0224298)",50.3372093,3.0224298
97,564,44,21,Saint-Avold,3 - 9,45000,0.5,0,0.25,0.25,NC,NC,NC,NC,NC,Saint-Avold,"(49.1043397, 6.7071754)",49.1043397,6.7071754
98,569,84,38,Riom,3 - 9,80000,0.6666666666666666,0,0,0.3333333333333333,NC,NC,NC,NC,NC,Riom,"(45.893068, 3.1136667)",45.893068,3.1136667
99,570,32,4,"Gauchy, Saint-Quentin, Morcourt",10 - 19,184000,0.18181818181818182,0.09090909090909091,0.45454545454545453,0.2727272727272727,1000,400,0.04031660623074824,20,20,Gauchy,"(49.825, 3.2705556)",49.825,3.2705556
100,574,11,20,"Mitry-Mory, Tremblay-en-France",3 - 9,47000,0.2,0,0.2,0.6,NC,NC,NC,NC,NC,Mitry-Mory,"(48.9839674, 2.6183971)",48.9839674,2.6183971
101,577,28,5,"Saint-Étienne-du-Rouvray, Amfreville-la-Mi-Voie, Sotteville-lès-Rouen",10 - 19,131000,0.36363636363636365,0.18181818181818182,0.45454545454545453,0,1100,300,0.04287171119722619,20,20,Saint-Étienne-du-Rouvray,"(49.3831, 1.09163)",49.3831,1.09163
102,578,32,7,"Tourcoing, Wattrelos, Roubaix",10 - 19,195000,0.1,0.7,0,0.2,2200,900,0.03125485488312972,10,10,Tourcoing,"(50.7235038, 3.1605714)",50.7235038,3.1605714
103,591,24,12,Mer Centre-Val de Loire,3 - 9,119000,0.4,0.4,0.2,0,NC,NC,NC,NC,NC,Mer Centre-Val de Loire,"(47.7083642, 1.5062706)",47.7083642,1.5062706
104,595,28,9,Argentan,3 - 9,64000,0.5,0.3333333333333333,0.16666666666666666,0,NC,NC,NC,NC,NC,Argentan,"(48.74289, -0.0223386)",48.74289,-0.0223386
105,600,27,4,"Longvic, Chenôve, Marsannay-la-Côte",3 - 9,129000,0.625,0.25,0.125,0,NC,NC,NC,NC,NC,Longvic,"(47.2841003, 5.0574798)",47.2841003,5.0574798
106,615,32,38,"Saint-Laurent-Blangy, Tilloy-lès-Mofflaines",3 - 9,96000,0.75,0.25,0,0,NC,NC,NC,NC,NC,Saint-Laurent-Blangy,"(50.2993922, 2.8016229)",50.2993922,2.8016229
107,616,44,12,"Ludres, Fléville-devant-Nancy",3 - 9,109000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Ludres,"(48.6217058, 6.1609279)",48.6217058,6.1609279
108,618,32,15,Longueil-Sainte-Marie,3 - 9,330000,0.625,0.25,0.125,0,NC,NC,NC,NC,NC,Longueil-Sainte-Marie,"(49.3576636, 2.7176908)",49.3576636,2.7176908
109,620,32,31,Onnaing,3 - 9,342000,0.4,0.2,0.4,0,NC,NC,NC,NC,NC,Onnaing,"(50.3870769, 3.6011231)",50.3870769,3.6011231
110,641,11,17,"Maurepas, Coignières",3 - 9,147000,0,0.5714285714285714,0,0.42857142857142855,NC,NC,NC,NC,NC,Maurepas,"(49.9905624, 2.8478956)",49.9905624,2.8478956
111,651,24,13,Malesherbes,3 - 9,62000,0.2,0.4,0.4,0,NC,NC,NC,NC,NC,Malesherbes,"(48.2865494, 2.3972819567297945)",48.2865494,2.3972819567297945
112,657,11,21,Bruyères-sur-Oise,3 - 9,172000,0.4,0.6,0,0,NC,NC,NC,NC,NC,Bruyères-sur-Oise,"(49.1573165, 2.3301301)",49.1573165,2.3301301
113,662,24,19,"Boigny-sur-Bionne, Saint-Jean-de-Braye",3 - 9,126000,0.25,0.25,0.5,0,NC,NC,NC,NC,NC,Boigny-sur-Bionne,"(47.9231036, 2.0078601)",47.9231036,2.0078601
114,668,32,9,"Lagny-le-Sec, Le Plessis-Belleville, Silly-le-Long",3 - 9,372000,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.1111111111111111,NC,NC,NC,NC,NC,Lagny-le-Sec,"(49.0859622, 2.7442236)",49.0859622,2.7442236
115,669,44,13,Bussy-Lettrée,3 - 9,188000,0.8333333333333334,0,0.16666666666666666,0,NC,NC,NC,NC,NC,Bussy-Lettrée,"(48.80464, 4.25947)",48.80464,4.25947
116,678,11,8,"Bondoufle, Fleury-Mérogis, Le Plessis-Pâté, Sainte-Geneviève-des-Bois, Brétigny-sur-Orge, Saint-Michel-sur-Orge",20 - 29,336000,0.43478260869565216,0.4782608695652174,0,0.08695652173913043,2700,1200,0.07384842358341075,20,20,Bondoufle,"(48.6137157, 2.3805119)",48.6137157,2.3805119
117,691,32,10,"Seclin, Noyelles-lès-Seclin",3 - 9,106000,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,NC,NC,NC,NC,NC,Seclin,"(50.5452102, 3.0252819)",50.5452102,3.0252819
118,693,75,11,"Artix, Noguères, Pardies",3 - 9,29000,0.25,0,0.75,0,NC,NC,NC,NC,NC,Artix,"(43.397429, -0.5722401)",43.397429,-0.5722401
119,702,32,22,"Vendin-le-Vieil, Lens",3 - 9,130000,0.5,0.5,0,0,NC,NC,NC,NC,NC,Vendin-le-Vieil,"(50.4756482, 2.8671553)",50.4756482,2.8671553
120,706,75,22,"Le Lardin-Saint-Lazare, La Bachellerie",3 - 9,73000,0.6666666666666666,0,0,0.3333333333333333,NC,NC,NC,NC,NC,Le Lardin-Saint-Lazare,"(45.1287746, 1.2273602)",45.1287746,1.2273602
121,722,27,5,"Auxerre, Monéteau",3 - 9,89000,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,NC,NC,NC,NC,NC,Auxerre,"(47.7961287, 3.570579)",47.7961287,3.570579
122,724,84,24,"Grigny, Montagny",3 - 9,42000,0.25,0.25,0.5,0,NC,NC,NC,NC,NC,Grigny,"(50.3856239, 2.065831)",50.3856239,2.065831
123,725,27,6,Besançon,3 - 9,123000,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,NC,NC,NC,NC,NC,Besançon,"(47.2380222, 6.0243622)",47.2380222,6.0243622
124,728,75,12,Limoges,3 - 9,82000,0.5,0.25,0.25,0,NC,NC,NC,NC,NC,Limoges,"(45.8354243, 1.2644847)",45.8354243,1.2644847
