,total_h2_sold_per_station,prioritize,profitability threshold,longitude,latitude,station_location,size_station
212,4206.690796980039,1,1.0516726992450096,6.153323467009044,43.41051955099898,road,large
226,4206.690796980039,1,1.0516726992450096,7.366670364166511,43.74520979912986,road,large
231,4206.690796980039,1,1.0516726992450096,7.483722004254011,43.79715090031751,road,large
243,4895.888092983353,1,1.2239720232458382,4.179336408152805,43.726224271926846,road,large
249,4895.888092983353,1,1.2239720232458382,3.295225920469808,43.338968764234544,road,large
258,4895.888092983353,1,1.2239720232458382,2.8950283531836454,42.78275379534364,road,large
263,4895.888092983353,1,1.2239720232458382,2.8569308097380333,42.47539934548716,road,large
275,1933.297749885398,1,0.966648874942699,1.851578857240029,48.08438486744445,road,medium
282,1933.297749885398,1,0.966648874942699,1.506053020112609,47.73070989708539,road,medium
290,1933.297749885398,1,0.966648874942699,0.5489459337021962,46.95218046111173,road,medium
299,1933.297749885398,1,0.966648874942699,0.3479900372412308,46.62314981719808,road,medium
305,1933.297749885398,1,0.966648874942699,-0.4360219091483783,46.2383786965198,road,medium
310,1933.297749885398,1,0.966648874942699,-0.5999157235849718,45.57627441561726,road,medium
321,1822.41162425249,1,0.911205812126245,1.4441402881838032,48.36343209562834,road,medium
332,1822.41162425249,1,0.911205812126245,0.1314132909311033,48.02267640035102,road,medium
338,1822.41162425249,1,0.911205812126245,-0.3309267902979237,47.564589574022094,road,medium
343,1822.41162425249,1,0.911205812126245,-1.202757788162948,47.39887443178217,road,medium
355,4399.192311511611,1,1.0997980778779026,0.3051646485282707,49.3133337654017,road,large
360,4399.192311511611,1,1.0997980778779026,0.1419237512513107,49.26256555057668,road,large
370,1524.7809363990746,0,0.7623904681995373,2.2357461560523704,49.70190128051283,road,medium
378,1524.7809363990746,0,0.7623904681995373,1.873049781205688,50.10338308196691,road,medium
389,1524.7809363990746,0,0.7623904681995373,2.403069684487531,51.01843747503984,road,medium
400,1949.5024299522106,1,0.9747512149761053,2.7696678052124417,48.06245935903253,road,medium
403,1949.5024299522106,1,0.9747512149761053,2.1958541299163987,48.114848625760814,road,medium
414,1742.37057842877,1,0.871185289214385,1.5609775540604751,46.65119813112068,road,medium
435,1742.37057842877,1,0.871185289214385,1.3041355241746295,45.781268536901656,road,medium
449,1742.37057842877,1,0.871185289214385,1.4796899142135913,45.16512945005558,road,medium
458,1742.37057842877,1,0.871185289214385,1.5730757121210202,44.698371084124005,road,medium
462,1742.37057842877,1,0.871185289214385,1.514015370199447,44.153609279776205,road,medium
467,1426.2006341892616,0,0.7131003170946307,2.4628984974377195,50.54925076908337,road,medium
483,1426.2006341892616,0,0.7131003170946307,3.1772109392932224,50.06911016213508,road,medium
490,1426.2006341892616,0,0.7131003170946307,3.470212347550327,49.68843512579081,road,medium
499,1426.2006341892616,0,0.7131003170946307,4.222623702628568,48.72880255270012,road,medium
503,1426.2006341892616,0,0.7131003170946307,4.165551410390831,48.29149724348645,road,medium
513,1138.9213049581679,0,0.569460652479084,0.4738405021477156,47.6474343354972,road,medium
