,dateReferentiel,route,longueur,prD,depPrD,concessionPrD,absD,cumulD,xD,yD,zD,prF,depPrF,concessionPrF,absF,cumulF,xF,yF,zF,anneeMesureTrafic,typeComptageTrafic,TMJA,ratioPL,lonD,latD,lonF,latF
155,2018-01-01,A0005,7525,31,77,C,468,31468,695806.06,6813081.55,0,38,77,C,993,38993,701608.98,6808457.39,0,2018,1.0,19131,13.7,2.943318431325453,48.41800677908671,3.021728350800506,48.37641647432851
156,2018-01-01,A0005,8332,38,77,C,993,38993,701608.98,6808457.39,0,47,77,C,325,47325,709825.97,6807720.86,0,2018,1.0,16406,13.51,3.021728350800506,48.37641647432851,3.132677247353134,48.36971778862427
157,2018-01-01,A0005,1043,47,77,C,325,47325,709825.97,6807720.86,0,48,89,C,368,48368,710816.35,6807310.14,0,2018,1.0,16406,13.51,3.132677247353134,48.36971778862427,3.1460397776815157,48.36600689160629
158,2018-01-01,A0005,57,48,89,C,368,48368,710816.35,6807310.14,0,48,89,C,425,48425,710851.89,6807293.25,0,2018,1.0,16406,13.51,3.1460397776815157,48.36600689160629,3.146519206035424,48.365854342881136
159,2018-01-01,A0005,15514,48,89,C,425,48425,710851.89,6807293.25,0,63,89,C,939,63939,721729.43,6796579.09,0,2018,1.0,16406,13.51,3.146519206035424,48.365854342881136,3.2928472247393334,48.269185369093854
160,2018-01-01,A0005,24137,63,89,C,939,63939,721729.43,6796579.09,0,88,89,C,76,88076,744434.89,6793544.49,0,2018,1.0,14404,13.91,3.2928472247393334,48.269185369093854,3.5985296690303956,48.240728638947985
161,2018-01-01,A0005,363,88,89,C,76,88076,744434.89,6793544.49,0,88,89,C,439,88439,744803.97,6793595.49,0,2018,1.0,14003,14.15,3.5985296690303956,48.240728638947985,3.603506165196027,48.24116222994881
162,2018-01-01,A0005,26676,88,89,C,439,88439,744803.97,6793595.49,0,115,10,C,115,115115,770171.07,6797223.85,0,2018,1.0,14003,14.15,3.603506165196027,48.24116222994881,3.945757720439666,48.271568066694414
163,2018-01-01,A0005,16087,115,10,C,115,115115,770171.07,6797223.85,0,131,10,C,202,131202,783828.26,6791796.4,0,2018,1.0,9423,13.91,3.945757720439666,48.271568066694414,4.128759116781822,48.22112395156409
164,2018-01-01,A0005,4098,131,10,C,202,131202,783828.26,6791796.4,0,135,10,C,300,135300,787625.23,6792747.94,0,2018,1.0,11165,13.86,4.128759116781822,48.22112395156409,4.18006986333003,48.22918530744294
165,2018-01-01,A0005,22129,135,10,C,300,135300,787625.23,6792747.94,0,157,10,C,429,157429,807249.41,6787214.09,0,2018,1.0,19933,16.31,4.18006986333003,48.22918530744294,4.442938163902523,48.17646642914616
166,2018-01-01,A0005,23620,157,10,C,429,157429,807249.41,6787214.09,0,181,10,C,49,181049,828758.21,6781139.67,0,2018,1.0,19436,16.7,4.442938163902523,48.17646642914616,4.730442779288069,48.1179294703733
167,2018-01-01,A0005,311,181,10,C,49,181049,828758.21,6781139.67,0,181,10,C,360,181360,829052.0,6781048.26,0,2018,1.0,19436,16.7,4.730442779288069,48.1179294703733,4.734362915408874,48.1170491268798
168,2018-01-01,A0005,795,181,10,C,360,181360,829052.0,6781048.26,0,182,52,C,155,182155,829809.04,6780839.99,0,2018,1.0,19436,16.7,4.734362915408874,48.1170491268798,4.744471842967027,48.11502542952557
169,2018-01-01,A0005,515,182,52,C,155,182155,829809.04,6780839.99,0,182,52,C,670,182670,830335.95,6780828.5,0,2018,1.0,19436,16.7,4.744471842967027,48.11502542952557,4.75154711474434,48.11481711074011
170,2018-01-01,A0005,2425,182,52,C,670,182670,830335.95,6780828.5,0,185,10,C,95,185095,832763.39,6780586.31,0,2018,1.0,19436,16.7,4.75154711474434,48.11481711074011,4.784084253556057,48.112149338029816
171,2018-01-01,A0005,930,185,10,C,95,185095,832763.39,6780586.31,0,186,10,C,25,186025,833511.52,6780020.02,0,2018,1.0,19546,16.94,4.784084253556057,48.112149338029816,4.793961370457422,48.10690239125888
172,2018-01-01,A0005,7491,186,10,C,25,186025,833511.52,6780020.02,0,193,52,C,516,193516,840161.36,6776918.27,0,2018,1.0,19546,16.94,4.793961370457422,48.10690239125888,4.882287262402821,48.077605794999464
173,2018-01-01,A0005,14751,193,52,C,516,193516,840161.36,6776918.27,0,208,52,C,267,208267,853589.98,6773033.12,0,2018,1.0,19546,16.94,4.882287262402821,48.077605794999464,5.061185958249656,48.03963794650407
174,2018-01-01,A0005,19833,208,52,C,267,208267,853589.98,6773033.12,0,228,52,C,100,228100,866053.82,6758632.41,0,2018,1.0,21711,21.51,5.061185958249656,48.03963794650407,5.222927012559973,47.90704749617199
