,total_h2_sold_per_station,prioritize,profitability threshold,longitude,latitude,station_location,size_station,cumulative_demand,property,nearby_total_station,new_h2_demand,new_profitability_threshold,new_profitability,exact_position,construction_year
189,0.0,na,na,6.8596292,47.6262461,na,na,0.03097163066901106,total,na,na,na,na,6.859629247.6262461,2024
190,0.0,na,na,2.2745439,49.8589941,na,na,0.03097163066901106,total,na,na,na,na,2.274543949.8589941,2024
191,0.0,na,na,3.251648,45.5359108,na,na,0.03097163066901106,total,na,na,na,na,3.25164845.5359108,2024
192,0.0,na,na,-2.5092127,48.4758867,na,na,0.03097163066901106,total,na,na,na,na,-2.509212748.4758867,2024
193,0.0,na,na,3.739829499999999,45.5516551,na,na,0.03097163066901106,total,na,na,na,na,3.73982949999999945.5516551,2024
194,0.0,na,na,-1.032999,43.327408,na,na,0.03097163066901106,total,na,na,na,na,-1.03299943.327408,2024
195,0.0,na,na,4.3703588,47.6197377,na,na,0.03097163066901106,total,na,na,na,na,4.370358847.6197377,2024
196,0.0,na,na,7.6111994,48.5804532,na,na,0.03097163066901106,total,na,na,na,na,7.611199448.5804532,2024
197,0.0,na,na,1.7444118,47.3531951,na,na,0.03097163066901106,total,na,na,na,na,1.744411847.3531951,2024
198,0.0,na,na,4.7422002,45.3094251,na,na,0.03097163066901106,total,na,na,na,na,4.742200245.3094251,2024
199,0.0,na,na,-0.5908561999999999,43.6591349,na,na,0.03097163066901106,total,na,na,na,na,-0.590856199999999943.6591349,2024
200,0.0,na,na,4.5127057,44.5700087,na,na,0.03097163066901106,total,na,na,na,na,4.512705744.5700087,2024
201,0.0,na,na,0.7265364,47.40408799999999,na,na,0.03097163066901106,total,na,na,na,na,0.726536447.40408799999999,2024
202,0.0,na,na,4.8171872,47.0146925,na,na,0.03097163066901106,total,na,na,na,na,4.817187247.0146925,2024
203,0.0,na,na,4.4294064,48.4284336,na,na,0.03097163066901106,total,na,na,na,na,4.429406448.4284336,2024
204,0.0,na,na,-3.9189422,47.8728294,na,na,0.03097163066901106,total,na,na,na,na,-3.918942247.8728294,2024
205,0.0,na,na,1.8241966,48.9565922,na,na,0.03097163066901106,total,na,na,na,na,1.824196648.9565922,2024
206,0.0,na,na,5.0006223,43.8105479,na,na,0.03097163066901106,total,na,na,na,na,5.000622343.8105479,2024
207,0.0,na,na,0.7401945,47.3811024,na,na,0.03097163066901106,total,na,na,na,na,0.740194547.3811024,2024
208,0.0,na,na,-2.9625658,48.0573215,na,na,0.03097163066901106,total,na,na,na,na,-2.962565848.0573215,2024
209,0.0,na,na,-2.283582,48.083875,na,na,0.03097163066901106,total,na,na,na,na,-2.28358248.083875,2024
210,0.0,na,na,4.0523084,46.5967518,na,na,0.03097163066901106,total,na,na,na,na,4.052308446.5967518,2024
211,0.0,na,na,0.1609266,48.0157803,na,na,0.03097163066901106,total,na,na,na,na,0.160926648.0157803,2024
212,0.0,na,na,4.0216708,48.2413016,na,na,0.03097163066901106,total,na,na,na,na,4.021670848.2413016,2024
213,0.0,na,na,1.152883,44.065848,na,na,0.03097163066901106,total,na,na,na,na,1.15288344.065848,2024
214,0.0,na,na,-1.6857871,48.149558,na,na,0.03097163066901106,total,na,na,na,na,-1.685787148.149558,2024
215,0.0,na,na,6.073739799999999,44.55945,na,na,0.03097163066901106,total,na,na,na,na,6.07373979999999944.55945,2024
216,0.0,na,na,1.9142162,48.9920299,na,na,0.03097163066901106,total,na,na,na,na,1.914216248.9920299,2024
217,0.0,na,na,0.5760694,43.6175923,na,na,0.03097163066901106,total,na,na,na,na,0.576069443.6175923,2024
218,0.0,na,na,1.3148436,47.6043605,na,na,0.03097163066901106,total,na,na,na,na,1.314843647.6043605,2024
219,0.0,na,na,3.8352668,43.57771229999999,na,na,0.03097163066901106,total,na,na,na,na,3.835266843.57771229999999,2024
220,0.0,na,na,-2.093225,47.387127,na,na,0.03097163066901106,total,na,na,na,na,-2.09322547.387127,2024
221,0.0,na,na,5.2438864,46.1888139,na,na,0.03097163066901106,total,na,na,na,na,5.243886446.1888139,2024
222,0.0,na,na,6.829504,47.7344028,na,na,0.03097163066901106,total,na,na,na,na,6.82950447.7344028,2024
223,0.0,na,na,5.878219,43.102976,na,na,0.03097163066901106,total,na,na,na,na,5.87821943.102976,2024
224,0.0,na,na,4.860048000000001,45.6929278,na,na,0.03097163066901106,total,na,na,na,na,4.86004800000000145.6929278,2024
225,0.0,na,na,5.479871,43.326181,na,na,0.03097163066901106,total,na,na,na,na,5.47987143.326181,2024
226,0.0,na,na,4.989962999999999,46.833579,na,na,0.03097163066901106,total,na,na,na,na,4.98996299999999946.833579,2024
227,0.0,na,na,2.1044814,48.8761145,na,na,0.03097163066901106,total,na,na,na,na,2.104481448.8761145,2024
228,0.0,na,na,1.4801273,44.1159847,na,na,0.03097163066901106,total,na,na,na,na,1.480127344.1159847,2024
229,0.0,na,na,-4.0842534,47.9925836,na,na,0.03097163066901106,total,na,na,na,na,-4.084253447.9925836,2024
230,0.0,na,na,1.9911349,48.7841763,na,na,0.03097163066901106,total,na,na,na,na,1.991134948.7841763,2024
